timestamp,page,records_fetched,records_inserted,elapsed_sec
2025-07-08T20:12:07.775324,4,4000,1010,11.03
2025-07-08T20:12:19.853615,5,4000,1191,12.08
2025-07-08T20:12:30.993850,6,4000,986,11.14
2025-07-08T20:12:42.374044,7,4000,1191,11.38
2025-07-08T20:12:53.419100,8,4000,1451,11.04
2025-07-08T20:13:04.704064,9,4000,1499,11.28
2025-07-08T20:13:16.025472,10,4000,1097,11.32
2025-07-08T20:13:27.204857,11,4000,696,11.18
2025-07-08T20:13:38.602514,12,4000,939,11.4
2025-07-08T20:13:49.705240,13,4000,514,11.1
2025-07-08T20:14:01.061390,14,4000,741,11.36
2025-07-08T20:14:12.250990,15,4000,1208,11.19
2025-07-08T20:14:23.259682,16,4000,1781,11.01
2025-07-08T20:14:34.424523,17,4000,533,11.16
2025-07-08T20:14:45.503282,18,4000,845,11.08
2025-07-08T20:14:56.566717,19,4000,711,11.06
2025-07-08T20:15:07.858282,20,4000,1299,11.29
2025-07-08T20:15:18.930719,21,4000,913,11.07
2025-07-08T20:15:30.361584,22,4000,1747,11.43
2025-07-08T20:15:41.843493,23,4000,775,11.48
2025-07-08T20:15:54.992437,24,4000,1028,13.15
2025-07-08T20:16:06.876018,25,4000,503,11.88
2025-07-08T20:16:18.516094,26,4000,161,11.64
2025-07-08T20:16:29.784609,27,4000,1144,11.27
2025-07-08T20:16:41.204883,28,4000,1791,11.42
2025-07-08T20:16:52.086674,29,4000,1537,10.88
2025-07-08T20:17:03.449689,30,4000,1704,11.36
2025-07-08T20:17:14.729899,31,4000,1738,11.28
2025-07-08T20:17:25.782078,32,4000,1951,11.05
2025-07-08T20:17:36.920258,33,4000,1337,11.14
2025-07-08T20:17:48.016529,34,4000,739,11.1
2025-07-08T20:17:59.024571,35,4000,865,11.01
2025-07-08T20:18:10.351959,36,4000,785,11.33
2025-07-08T20:18:21.329371,37,4000,771,10.98
2025-07-08T20:18:32.794780,38,4000,897,11.47
2025-07-08T20:18:45.582189,39,4000,379,12.79
2025-07-08T20:18:56.500491,40,4000,1290,10.92
2025-07-08T20:19:07.859144,41,4000,287,11.36
2025-07-08T20:19:19.004023,42,4000,811,11.14
2025-07-08T20:19:32.715818,43,4000,1700,13.71
2025-07-08T20:19:43.807333,44,4000,785,11.09
2025-07-08T20:19:54.818989,45,4000,943,11.01
2025-07-08T20:20:06.220467,46,4000,548,11.4
2025-07-08T20:20:17.669338,47,4000,792,11.45
2025-07-08T20:20:28.793707,48,4000,554,11.12
2025-07-08T20:20:40.064229,49,4000,520,11.27
2025-07-08T20:20:51.218602,50,4000,306,11.15
2025-07-08T20:21:02.969632,51,4000,596,11.75
2025-07-08T20:21:14.485153,52,4000,371,11.52
2025-07-08T20:21:25.432404,53,4000,616,10.95
2025-07-08T20:21:36.479943,54,4000,1037,11.05
2025-07-08T20:21:47.910369,55,4000,622,11.43
2025-07-08T20:21:59.334726,56,4000,633,11.42
2025-07-08T20:22:10.975062,57,4000,1181,11.64
2025-07-08T20:22:22.315448,58,4000,877,11.34
2025-07-08T20:22:34.998643,59,4000,727,12.68
2025-07-08T20:22:46.070184,60,4000,983,11.07
2025-07-08T20:22:57.128385,61,4000,557,11.06
2025-07-08T20:23:08.414929,62,4000,1621,11.29
2025-07-08T20:23:20.948246,63,4000,1710,12.53
2025-07-08T20:23:32.258750,64,4000,1115,11.31
2025-07-08T20:23:43.336599,65,4000,1116,11.08
2025-07-08T20:23:54.498612,66,4000,604,11.16
2025-07-08T20:24:05.704252,67,4000,281,11.21
2025-07-08T20:24:16.880307,68,4000,340,11.18
2025-07-08T20:24:27.848277,69,4000,758,10.97
2025-07-08T20:24:39.189128,70,4000,1106,11.34
2025-07-08T20:24:50.776883,71,4000,357,11.59
2025-07-08T20:25:02.111389,72,4000,501,11.33
2025-07-08T20:25:14.703488,73,4000,1343,12.59
2025-07-08T20:25:25.921832,74,4000,1252,11.22
2025-07-08T20:25:37.110704,75,4000,692,11.19
2025-07-08T20:25:48.016086,76,4000,624,10.9
2025-07-08T20:25:59.280709,77,4000,1662,11.26
2025-07-08T20:26:11.170581,78,4000,1219,11.89
2025-07-08T20:26:22.452000,79,4000,1532,11.28
2025-07-08T20:26:33.752275,80,4000,1988,11.3
2025-07-08T20:26:45.148274,81,4000,631,11.4
2025-07-08T20:26:56.366080,82,4000,1458,11.22
2025-07-08T20:27:07.472544,83,4000,1425,11.11
2025-07-08T20:27:18.560177,84,4000,1095,11.09
2025-07-08T20:27:34.474723,85,4000,1628,15.91
2025-07-08T20:27:48.976839,86,4000,1887,14.5
2025-07-08T20:28:00.412309,87,4000,2821,11.44
2025-07-08T20:28:12.602105,88,4000,1687,12.19
2025-07-08T20:28:24.123748,89,4000,1661,11.52
2025-07-08T20:28:35.564380,90,4000,1693,11.44
2025-07-08T20:28:46.914477,91,4000,1169,11.35
2025-07-08T20:28:57.988668,92,4000,1664,11.07
2025-07-08T20:29:09.270256,93,4000,1644,11.28
2025-07-08T20:29:21.022873,94,4000,1854,11.75
2025-07-08T20:29:32.217680,95,4000,1922,11.19
2025-07-08T20:29:43.482415,96,4000,1495,11.26
2025-07-08T20:29:54.866351,97,4000,2257,11.38
2025-07-08T20:30:06.259332,98,4000,2166,11.39
2025-07-08T20:30:17.541865,99,4000,3130,11.28
2025-07-08T20:30:30.212726,100,4000,3479,12.67
2025-07-08T20:30:41.517069,101,4000,2087,11.3
